VIN,VIN,Make,Model,Model Year,Manufacturer Name,Plant Country,Plant State,Plant City,Plant Company Name,Vehicle Type,Series,Trim,Drive Type,Transmission Style,Transmission Speeds,Doors,Seats,Seat Rows,Body Class,Engine Displacement (L),Engine Configuration,Engine Cylinders,Engine Model,Valve Train Design,Engine Stroke Cycles,Engine Manufacturer,Fuel Type Primary,Air Bag Locations,Seat Belt Type,Other Restraint Info,Pretensioner
4T1R11AK4RU878557,4T1R11AK4RU878557,TOYOTA,Camry,2024,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",UNITED STATES (USA),KENTUCKY,GEORGETOWN,"Toyota Motor Manufacturing. Kentucky, Inc.",PASSENGER CAR,70 Series,LE,4x2,Automatic,8,4,5,2,Sedan/Saloon,2.5,In-Line,,A25A-FKS,Dual Overhead Cam (DOHC),4,Toyota,Gasoline,1st Row (Driver and Passenger),Manual,Seat Belt: All Seats,
1HGCM82633A004352,1HGCM82633A004352,HONDA,Accord,2003,"AMERICAN HONDA MOTOR CO., INC.",UNITED STATES (USA),OHIO,MARYSVILLE,,PASSENGER CAR,,EX-V6,,Automatic,5,2,,,Coupe,2.998832712,V-Shaped,,J30A4,Single Overhead Cam (SOHC),,,Gasoline,1st Row (Driver and Passenger),Manual,Seat Belt (Rr center position),
1FTFW1ET1EFA12345,1FTFW1ET1EFA12345,FORD,F-150,2014,FORD MOTOR COMPANY,UNITED STATES (USA),MICHIGAN,DEARBORN,,TRUCK,,,4WD/4-Wheel Drive/4x4,,,,,,Pickup,3.5,V-Shaped,,,,,Ford,Gasoline,1st Row (Driver and Passenger),Manual,,
WDBRF40J33F123456,WDBRF40J33F123456,MERCEDES-BENZ,C-Class,2003,MERCEDES-BENZ CARS,GERMANY,,BRERNEN,,PASSENGER CAR,C230,,,,,4,5,,Sedan/Saloon,1.80,In-Line,,,,,,Gasoline,1st Row (Driver and Passenger),Manual,Window Bag,Yes
JH4KA9650MC123456,JH4KA9650MC123456,ACURA,,1991,"HONDA MOTOR CO., LTD.",JAPAN,SAITAMA,,Saitama Factory Sayama Plant,PASSENGER CAR,,,,,,,,,,,,,,,,,,,,,
WAUZZZ8K9AA123456,WAUZZZ8K9AA123456,AUDI,,1980,AUDI AG,,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,,,,
JHMCM56557C404453,JHMCM56557C404453,HONDA,,2007,"HONDA MOTOR CO., LTD.",JAPAN,SAITAMA,SAYAMA,,PASSENGER CAR,,,,,,,,,,,,,,,,,,,,,
1C4RJFAG0FC123456,1C4RJFAG0FC123456,JEEP,Grand Cherokee,2015,FCA US LLC,UNITED STATES (USA),MICHIGAN,DETROIT,Jefferson North Assembly,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Laredo,4WD/4-Wheel Drive/4x4,,,4,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),3.6,,,,,,,Gasoline,1st Row (Driver and Passenger),Manual,Active Seat Belt,
2G1WF52E759123456,2G1WF52E759123456,CHEVROLET,Impala,2005,GENERAL MOTORS LLC,CANADA,ONTARIO,OSHAWA #1,NA-GM Corp,PASSENGER CAR,,,,,,4,,,Sedan/Saloon,3.4,V-Shaped,,LA1,,,LAN,Gasoline,1st Row (Driver and Passenger),Manual,,
3VWFE21C04M000001,3VWFE21C04M000001,VOLKSWAGEN,Beetle,2004,VOLKSWAGEN DE MEXICO SA DE CV,MEXICO,,PUEBLA,,PASSENGER CAR,,Turbo S,,,,2,,,Hatchback/Liftback/Notchback,1.781000,,,,,,Volkswagen,Gasoline,1st Row (Driver and Passenger),Manual,Active Seat Belt,
4T1C11AK3PU162087,4T1C11AK3PU162087,TOYOTA,Camry,2023,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",UNITED STATES (USA),KENTUCKY,GEORGETOWN,"Toyota Motor Manufacturing, Kentucky, Inc.",PASSENGER CAR,70 Series,LE,4x2,Automatic,8,4,5,2,Sedan/Saloon,2.5,In-Line,,A25A-FKS,Dual Overhead Cam (DOHC),4,Toyota,Gasoline,1st Row (Driver and Passenger),Manual,Seat Belt : All seats,
